Country,Resource,Stocks and flows,CLASSE,PowerCode,Unit,Year,Value
0.0,0.0,4.0,0.0,0.0,0.0,2010.0,0.009
0.0,0.0,1.0,0.0,0.0,0.0,2002.0,0.001
0.0,0.0,4.0,0.0,0.0,0.0,2007.0,0.008
0.0,0.0,4.0,0.0,0.0,0.0,2003.0,0.006
0.0,0.0,4.0,0.0,0.0,0.0,2011.0,0.011
0.0,0.0,4.0,0.0,0.0,0.0,2012.0,0.01
0.0,0.0,4.0,0.0,0.0,0.0,2013.0,0.011
0.0,0.0,4.0,0.0,0.0,0.0,2015.0,0.01
0.0,0.0,4.0,0.0,0.0,0.0,2002.0,0.007
0.0,0.0,4.0,0.0,0.0,0.0,2014.0,0.01
3.0,1.0,0.0,1.0,1.0,1.0,2013.0,0.303
3.0,1.0,5.0,1.0,1.0,1.0,2000.0,0.0
3.0,1.0,5.0,1.0,1.0,1.0,2001.0,0.0
3.0,1.0,5.0,1.0,1.0,1.0,2002.0,0.0
3.0,1.0,2.0,1.0,1.0,1.0,2012.0,0.008
3.0,1.0,2.0,1.0,1.0,1.0,2009.0,0.01
3.0,1.0,2.0,1.0,1.0,1.0,2010.0,0.008
3.0,1.0,2.0,1.0,1.0,1.0,2013.0,0.008
3.0,1.0,0.0,1.0,1.0,1.0,2012.0,0.254
3.0,1.0,2.0,1.0,1.0,1.0,2011.0,0.008
3.0,1.0,2.0,1.0,1.0,1.0,2017.0,0.007
3.0,1.0,2.0,1.0,1.0,1.0,2008.0,0.013
4.0,1.0,0.0,0.0,1.0,1.0,2001.0,39.918
3.0,1.0,0.0,1.0,1.0,1.0,2010.0,0.314
3.0,1.0,0.0,1.0,1.0,1.0,2009.0,0.216
3.0,1.0,0.0,1.0,1.0,1.0,2008.0,0.23
4.0,1.0,0.0,0.0,1.0,1.0,2000.0,41.495
4.0,1.0,0.0,0.0,1.0,1.0,2002.0,38.286
3.0,1.0,0.0,1.0,1.0,1.0,2014.0,0.296
4.0,1.0,0.0,0.0,1.0,1.0,2003.0,36.266
4.0,1.0,0.0,0.0,1.0,1.0,2005.0,33.312
3.0,1.0,2.0,1.0,1.0,1.0,2014.0,0.011
4.0,1.0,0.0,0.0,1.0,1.0,2006.0,33.093
4.0,1.0,0.0,0.0,1.0,1.0,2008.0,31.212
4.0,1.0,0.0,0.0,1.0,1.0,2007.0,31.909
3.0,1.0,0.0,1.0,1.0,1.0,2011.0,0.287
3.0,1.0,2.0,1.0,1.0,1.0,2015.0,0.01
3.0,1.0,2.0,1.0,1.0,1.0,2004.0,0.015
3.0,1.0,2.0,1.0,1.0,1.0,2018.0,0.007
3.0,1.0,6.0,1.0,1.0,1.0,2013.0,0.002
3.0,1.0,6.0,1.0,1.0,1.0,2012.0,0.058
